boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,resp,class_pred,net_idx,stim_aligned,resp_aligned,stim_rank
0.75,b=0.75,0.8095238208770752,12,11,1.0,0.7782366,1.0,2,0.059523820877075195,0.02823662757873535,13.5
0.75,b=0.75,0.8095238208770752,13,11,1.0,0.7782366,1.0,2,0.059523820877075195,0.02823662757873535,13.5
0.75,b=0.75,0.8571428656578064,14,12,1.0,0.7946075,1.0,2,0.1071428656578064,0.04460752010345459,15.5
0.75,b=0.75,0.8571428656578064,15,12,1.0,0.7946075,1.0,2,0.1071428656578064,0.04460752010345459,15.5
0.75,b=0.75,0.9047619104385376,16,13,1.0,0.8076912,1.0,2,0.1547619104385376,0.057691216468811035,17.5
0.75,b=0.75,0.9047619104385376,17,13,1.0,0.8076912,1.0,2,0.1547619104385376,0.057691216468811035,17.5
0.75,b=0.75,0.9523809552192688,18,14,1.0,0.8155512,1.0,2,0.2023809552192688,0.06555122137069702,19.5
0.75,b=0.75,0.9523809552192688,19,14,1.0,0.8155512,1.0,2,0.2023809552192688,0.06555122137069702,19.5
0.25,b=0.25,0.0476190485060215,0,0,0.0,0.167074,0.0,3,-0.2023809514939785,-0.08292600512504578,1.5
0.25,b=0.25,0.0476190485060215,1,0,0.0,0.167074,0.0,3,-0.2023809514939785,-0.08292600512504578,1.5
0.25,b=0.25,0.095238097012043,2,1,0.0,0.18110679,0.0,3,-0.154761902987957,-0.06889320909976959,3.5
0.25,b=0.25,0.095238097012043,3,1,0.0,0.18110679,0.0,3,-0.154761902987957,-0.06889320909976959,3.5
0.25,b=0.25,0.1428571492433548,4,2,0.0,0.19604084,0.0,3,-0.1071428507566452,-0.053959161043167114,5.5
0.25,b=0.25,0.1428571492433548,5,2,0.0,0.19604084,0.0,3,-0.1071428507566452,-0.053959161043167114,5.5
0.25,b=0.25,0.190476194024086,6,3,0.0,0.21188769,0.0,3,-0.059523805975914,-0.03811231255531311,7.5
0.25,b=0.25,0.190476194024086,7,3,0.0,0.21188769,0.0,3,-0.059523805975914,-0.03811231255531311,7.5
0.25,b=0.25,0.2380952388048172,8,4,0.0,0.22865123,0.0,3,-0.0119047611951828,-0.021348774433135986,9.5
0.25,b=0.25,0.2380952388048172,9,4,0.0,0.22865123,0.0,3,-0.0119047611951828,-0.021348774433135986,9.5
0.25,b=0.25,0.2857142984867096,10,5,1.0,0.24632646,0.0,3,0.035714298486709595,-0.003673538565635681,11.0
0.25,b=0.25,0.3333333432674408,11,6,1.0,0.26489884,1.0,3,0.0833333432674408,0.014898836612701416,12.0
0.25,b=0.25,0.380952388048172,12,7,1.0,0.28434318,1.0,3,0.130952388048172,0.034343183040618896,13.0
0.25,b=0.25,0.4285714328289032,13,8,1.0,0.30462334,1.0,3,0.1785714328289032,0.05462333559989929,14.0
0.25,b=0.25,0.4761904776096344,14,9,1.0,0.32569167,1.0,3,0.2261904776096344,0.07569167017936707,15.0
0.25,b=0.25,0.523809552192688,15,10,1.0,0.347489,1.0,3,0.273809552192688,0.09748899936676025,16.0
0.25,b=0.25,0.5714285969734192,16,11,1.0,0.3699448,1.0,3,0.3214285969734192,0.11994481086730957,17.0
0.25,b=0.25,0.6190476417541504,17,12,1.0,0.39297774,1.0,3,0.3690476417541504,0.1429777443408966,18.0
0.25,b=0.25,0.6666666865348816,18,13,1.0,0.4164968,1.0,3,0.4166666865348816,0.16649681329727173,19.0
0.25,b=0.25,0.7142857313156128,19,14,1.0,0.4404022,1.0,3,0.4642857313156128,0.19040220975875854,20.0
0.5,b=0.50,0.0476190485060215,0,0,0.0,0.2780111,0.0,3,-0.4523809514939785,-0.22198888659477234,1.0
0.5,b=0.50,0.095238097012043,1,1,0.0,0.29802778,0.0,3,-0.404761902987957,-0.20197221636772156,2.0
0.5,b=0.50,0.1428571492433548,2,2,0.0,0.3188491,0.0,3,-0.3571428507566452,-0.1811509132385254,3.0
0.5,b=0.50,0.190476194024086,3,3,0.0,0.34041965,0.0,3,-0.309523805975914,-0.15958034992218018,4.0
0.5,b=0.50,0.2380952388048172,4,4,0.0,0.3626725,0.0,3,-0.2619047611951828,-0.13732749223709106,5.0
0.5,b=0.50,0.2857142984867096,5,5,0.0,0.38552976,0.0,3,-0.2142857015132904,-0.11447024345397949,6.0
0.5,b=0.50,0.3333333432674408,6,6,0.0,0.40890336,0.0,3,-0.1666666567325592,-0.09109663963317871,7.0
0.5,b=0.50,0.380952388048172,7,7,0.0,0.43269607,0.0,3,-0.119047611951828,-0.06730392575263977,8.0
0.5,b=0.50,0.4285714328289032,8,8,0.0,0.4568034,0.0,3,-0.0714285671710968,-0.04319658875465393,9.0
0.5,b=0.50,0.4761904776096344,9,9,0.0,0.4811148,0.0,3,-0.0238095223903656,-0.01888519525527954,10.0
0.5,b=0.50,0.523809552192688,10,10,1.0,0.5055159,1.0,3,0.02380955219268799,0.005515873432159424,11.0
0.5,b=0.50,0.5714285969734192,11,11,1.0,0.5298907,1.0,3,0.07142859697341919,0.029890716075897217,12.0
0.5,b=0.50,0.6190476417541504,12,12,1.0,0.5541238,1.0,3,0.11904764175415039,0.05412381887435913,13.0
0.5,b=0.50,0.6666666865348816,13,13,1.0,0.5781024,1.0,3,0.1666666865348816,0.07810240983963013,14.0
0.5,b=0.50,0.7142857313156128,14,14,1.0,0.60171825,1.0,3,0.2142857313156128,0.1017182469367981,15.0
0.5,b=0.50,0.761904776096344,15,15,1.0,0.62486994,1.0,3,0.261904776096344,0.1248699426651001,16.0
0.5,b=0.50,0.8095238208770752,16,16,1.0,0.6474644,1.0,3,0.3095238208770752,0.14746439456939697,17.0
0.5,b=0.50,0.8571428656578064,17,17,1.0,0.66941786,1.0,3,0.3571428656578064,0.1694178581237793,18.0
0.5,b=0.50,0.9047619104385376,18,18,1.0,0.69065744,1.0,3,0.4047619104385376,0.19065743684768677,19.0
0.5,b=0.50,0.9523809552192688,19,19,1.0,0.7111213,1.0,3,0.4523809552192688,0.2111213207244873,20.0
0.75,b=0.75,0.2857142984867096,0,0,0.0,0.5463707,0.0,3,-0.4642857015132904,-0.20362931489944458,1.0
